SID,DATE,Level
075a,01211996,11
075a,03211996,9
075a,05211996,12
075a,07211996,20
075a,10211996,29
075a,12211996,25
075a,01211997,11
075a,03211997,9
075a,05211997,12
075a,07211997,20
075a,10211997,29
075a,12211997,25
075a,01211998,11
075a,03211998,9
075a,05211998,12
075a,07211998,20
075a,10211998,29
075a,12211998,25
075a,01211999,11
075a,03211999,9
075a,05211999,12
075a,07211999,20
075a,10211999,29
075a,12211999,25
075a,01212000,11
075a,03212000,9
075a,05212000,12
075a,07212000,20
075a,10212000,29
075a,12212000,25
075a,01212001,11
075a,03212001,9
075a,05212001,12
075a,07212001,20
075a,10212001,29
075a,12212001,25
075a,01212002,11
075a,03212002,9
075a,05212002,12
075a,07212002,20
075a,10212002,29
075a,12212002,25
075a,01212003,11
075a,03212003,9
075a,05212003,12
075a,07212003,20
075a,10212003,29
075a,12212003,25
075a,01212004,11
075a,03212004,9
075a,05212004,12
075a,07212004,20
075a,10212004,29
075a,12212004,25
075a,01212005,11
075a,03212005,9
075a,05212005,12
075a,07212005,20
075a,10212005,29
075a,12212005,25
075a,01212006,11
075a,03212006,9
075a,05212006,12
075a,07212006,20
075a,10212006,29
075a,12212006,25
075a,01212007,11
075a,03212007,9
075a,05212007,12
075a,07212007,20
075a,10212007,29
075a,12212007,25
075a,01212007,11
075a,03212007,9
075a,05212007,12
075a,07212007,20
075a,10212007,29
075a,12212007,25
075a,01212008,11
075a,03212008,9
075a,05212008,12
075a,07212008,20
075a,10212008,29
075a,12212008,25
075a,01212009,11
075a,03212009,9
075a,05212009,12
075a,07212009,20
075a,10212009,29
075a,12212009,25
075a,01212010,11
075a,03212010,9
075a,05212010,12
075a,07212010,20
075a,10212010,29
075a,12212010,25
